duAn,huong,phapLy,noBed,soLau,Precinct,District,acreage_value,noBathroom
Pháp Vân Tứ Hiệp,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,82.0,2.0
Star Tower,,,2.0,,Phường Yên Hòa,Quận Cầu Giấy,100.0,2.0
The Manor,,,2.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,106.0,2.0
A10-A14 Nam Trung Yên,,,2.0,,Phường Yên Hòa,Quận Cầu Giấy,52.0,1.0
,,,3.0,,Phường Đại Kim,Quận Hoàng Mai,83.0,-1.0
Vinhomes Ocean Park Gia Lâm,Nam,,1.0,,,Huyện Gia Lâm,43.0,1.0
90 Nguyễn Tuân,,,2.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,70.0,2.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,Xã Dương Xá,Huyện Gia Lâm,43.0,1.0
King Palace,,,3.0,,Phường Thượng Đình,Quận Thanh Xuân,100.0,2.0
A10-A14 Nam Trung Yên,,,2.0,,Phường Yên Hòa,Quận Cầu Giấy,72.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Phương Mai,Quận Đống Đa,91.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,105.0,-1.0
Xuân Mai Riverside,,,2.0,,Phường Mỗ Lao,Quận Hà Đông,76.0,2.0
The Canopy Residences - Vinhomes Smart City,,,3.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,80.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Nghĩa Đô,Quận Cầu Giấy,71.0,-1.0
Ecolife Capitol,,,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,110.0,-1.0
,Tây,,3.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,122.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,4.0,Phường Khương Trung,Quận Thanh Xuân,80.0,-1.0
Berriver Long Biên,,,1.0,,Phường Bồ Đề,Quận Long Biên,48.0,1.0
,,,3.0,18.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,95.0,-1.0
VP5 Linh Đàm,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,72.0,2.0
Hateco Hoàng Mai,,,2.0,,Phường Yên Sở,Quận Hoàng Mai,55.0,2.0
The Emerald CT8 Mỹ Đình,,,3.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,96.0,-1.0
VP3 Linh Đàm,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,93.0,2.0
Hoàng Thành Pearl,,,3.0,,,Quận Nam Từ Liêm,110.0,2.0
Bình Vượng 200 Quang Trung,,,2.0,,Phường Quang Trung,Quận Hà Đông,92.0,2.0
Bình Vượng 200 Quang Trung,,,3.0,,Phường Quang Trung,Quận Hà Đông,118.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Phường Hoàng Văn Thụ,Quận Hoàng Mai,58.0,-1.0
