duAn,huong,phapLy,noBed,soLau,Street,Precinct,District,City,acreage_value,acreage_unit,price_value,price_unit,noBathroom
Vinhomes Ocean Park,Đông Bắc,,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,68.0,m2,3.72,tỷ,
Đường Trích Sài,,Giấy chứng nhận quyền sở hữu đất,,,Đường Trích Sài,Phường Thụy Khuê,Quận Tây Hồ,Hà Nội,52.0,m2,1.28,tỷ,
Vinhomes Smart City,,,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,75.0,m2,4.8,tỷ,
Vinhomes Cổ Loa,,,,,,Xã Cổ Loa,Huyện Đông Anh,Hà Nội,31.0,m2,3.0,tỷ,
Vinhomes Smart City,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,28.0,m2,2.15,tỷ,
Hanoi Melody Residences,,Giấy tờ hợp lệ,,,,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,68.0,m2,,tỷ,
Vinhomes Ocean Park,,,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,86.0,m2,4.85,tỷ,
Vinhomes Ocean Park,,,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,46.0,m2,2.35,tỷ,
Sunshine Golden River,Đông Nam,Giấy tờ hợp lệ,,,Đường An Dương Vương,Phường Phú Thượng,Quận Tây Hồ,Hà Nội,278.0,m2,,tỷ,
Vinhomes Smart City,,,1,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,28.0,m2,2.49,tỷ,
Tòa nhà Licogi 12,,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Hoàng Mai,Hà Nội,110.0,m2,5.5,tỷ,
VP3 Linh Đàm,,Giấy chứng nhận quyền sở hữu đất,,,Đường Nguyễn Duy Trinh,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,83.0,m2,4.7,tỷ,
Vinhomes Ocean Park,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,43.2,m2,2.4,tỷ,
Vinhomes Ocean Park,,,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,42.0,m2,2.29,tỷ,
Vinhomes Ocean Park,,,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,63.0,m2,5.8,tỷ,
Phường Mỹ Đình 2,,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Nam Từ Liêm,Hà Nội,133.0,m2,8.0,tỷ,
Mulberry Lane,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Mỗ Lao,Phường Mỗ Lao,Quận Hà Đông,Hà Nội,485.0,m2,,tỷ,
Mulberry Lane,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Mỗ Lao,Phường Mỗ Lao,Quận Hà Đông,Hà Nội,485.0,m2,,tỷ,
Dreamland Bonanza,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Duy Tân,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,300.0,m2,,tỷ,
Sunshine Golden River,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường An Dương Vương,Phường Phú Thượng,Quận Tây Hồ,Hà Nội,500.0,m2,,tỷ,
Iris Garden,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Trần Hữu Dực,Phường Mỹ Đình 1,Quận Nam Từ Liêm,Hà Nội,185.0,m2,,tỷ,
Sunshine Crystal River,Tây Nam,Giấy tờ hợp lệ,,,Đường Lạc Long Quân,Phường Phú Thượng,Quận Tây Hồ,Hà Nội,180.0,m2,,tỷ,
Vinhomes Ocean Park,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,63.0,m2,,tỷ,
Quận Hoàng Mai,,,,,,,Quận Hoàng Mai,Hà Nội,35.0,m2,650.0,triệu,
Quận Đống Đa,,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Đống Đa,Hà Nội,35.0,m2,700.0,triệu,
Khu đô thị Splendora An Khánh,,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại lộ Thăng Long,Xã An Khánh,Huyện Hoài Đức,Hà Nội,88.0,m2,,tỷ,
Phường Hoàng Liệt,,,,,,,Quận Hoàng Mai,Hà Nội,77.0,m2,2.5,tỷ,
Đường Trần Phú,,Giấy chứng nhận quyền sở hữu đất,,,Đường Trần Phú,Phường Nguyễn Trãi,Quận Hà Đông,Hà Nội,40.0,m2,1.0,tỷ,
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,Giấy chứng nhận quyền sở hữu đất,,,Đường Linh Đàm,,Quận Hoàng Mai,Hà Nội,57.0,m2,3.55,tỷ,
Vinhomes Ocean Park,,Giấy chứng nhận quyền sở hữu đất,2,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,70.0,m2,3.05,tỷ,
Vinhomes Ocean Park,,Giấy chứng nhận quyền sở hữu đất,3,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,80.0,m2,3.45,tỷ,
Vinhomes Ocean Park,,Giấy chứng nhận quyền sở hữu đất,1,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,47.0,m2,2.1,tỷ,
Vinhomes Ocean Park,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường 179,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,75.0,m2,3.7,tỷ,
Khu đô thị Trung Hòa - Nhân Chính,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,,Phường Trung Hòa,Quận Cầu Giấy,Hà Nội,70.0,m2,4.2,tỷ,
Phố Trần Quý Kiên,,Giấy chứng nhận quyền sở hữu đất,,,Phố Trần Quý Kiên,Phường Dịch Vọng,Quận Cầu Giấy,Hà Nội,52.0,m2,3.65,tỷ,
Vinhomes Ocean Park,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,47.0,m2,2.15,tỷ,
Quận Hà Đông,,,,,,,Quận Hà Đông,Hà Nội,89.0,m2,4.4,tỷ,
Vinhomes Smart City,,,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,64.0,m2,3.95,tỷ,
VP3 Linh Đàm,,,,,Đường Nguyễn Duy Trinh,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,76.0,m2,4.1,tỷ,
Rainbow Linh Đàm,,,,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,90.0,m2,5.3,tỷ,
đường Tây Mỗ,,,,,,Phường Tây Mỗ,Quận Nam Từ Liêm,Hà Nội,55.0,m2,3.48,tỷ,
Phố Xã Đàn,,,1,,Phố Xã Đàn,,Quận Đống Đa,Hà Nội,35.0,m2,550.0,triệu,
Quận Hoàng Mai,,,,,,,Quận Hoàng Mai,Hà Nội,30.0,m2,600.0,triệu,
Phố Chùa Bộc,,Giấy chứng nhận quyền sở hữu đất,1,,Phố Chùa Bộc,,Quận Đống Đa,Hà Nội,43.0,m2,550.0,triệu,
Sunshine Golden River,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,4,,Đường An Dương Vương,Phường Phú Thượng,Quận Tây Hồ,Hà Nội,352.0,m2,,tỷ,
Sunshine Golden River,Đông Bắc,Giấy tờ hợp lệ,4,,Đường An Dương Vương,Phường Phú Thượng,Quận Tây Hồ,Hà Nội,493.0,m2,,tỷ,
Sunshine Crystal River,Đông Bắc,,,,Đường Lạc Long Quân,Phường Phú Thượng,Quận Tây Hồ,Hà Nội,75.0,m2,,tỷ,
Quận Hà Đông,,,,,,,Quận Hà Đông,Hà Nội,62.0,m2,2.85,tỷ,
Phường Phú La,,,,,,,Quận Hà Đông,Hà Nội,118.0,m2,5.4,tỷ,
Phường Dương Nội,,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Hà Đông,Hà Nội,57.0,m2,3.0,tỷ,
Đường Đại Cồ Việt,Đông,Giấy chứng nhận quyền sở hữu đất,2,8,Đường Đại Cồ Việt,Phường Bạch Đằng,Quận Hai Bà Trưng,Hà Nội,55.0,m2,800.0,triệu,
Vinhomes Smart City,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,43.0,m2,3.03,tỷ,
Đường Nguyễn Trãi,Đông,Giấy chứng nhận quyền sở hữu đất,,,Đường Nguyễn Trãi,Phường Thượng Đình,Quận Thanh Xuân,Hà Nội,53.0,m2,800.0,triệu,
Đường Phạm Ngọc Thạch,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Phạm Ngọc Thạch,Phường Kim Liên,Quận Đống Đa,Hà Nội,53.0,m2,800.0,triệu,
Phường Phú La,,,,,,,Quận Hà Đông,Hà Nội,118.0,m2,5.4,tỷ,
Phường Dương Nội,,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Hà Đông,Hà Nội,57.0,m2,3.0,tỷ,
Đường Đại Cồ Việt,Đông,Giấy chứng nhận quyền sở hữu đất,2,8,Đường Đại Cồ Việt,Phường Bạch Đằng,Quận Hai Bà Trưng,Hà Nội,55.0,m2,800.0,triệu,
Vinhomes Smart City,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,43.0,m2,3.03,tỷ,
Đường Nguyễn Trãi,Đông,Giấy chứng nhận quyền sở hữu đất,,,Đường Nguyễn Trãi,Phường Thượng Đình,Quận Thanh Xuân,Hà Nội,53.0,m2,800.0,triệu,
Đường Phạm Ngọc Thạch,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Phạm Ngọc Thạch,Phường Kim Liên,Quận Đống Đa,Hà Nội,53.0,m2,800.0,triệu,
Đường Giải Phóng,Tây,Giấy chứng nhận quyền sở hữu đất,,,Đường Giải Phóng,Phường Giáp Bát,Quận Hoàng Mai,Hà Nội,55.0,m2,800.0,triệu,
Đường Phạm Hùng,Đông,Giấy chứng nhận quyền sở hữu đất,2,8,Đường Phạm Hùng,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,52.0,m2,800.0,triệu,
Đường Vĩnh Phúc,Đông,Giấy chứng nhận quyền sở hữu đất,2,8,Đường Vĩnh Phúc,Phường Vĩnh Phúc,Quận Ba Đình,Hà Nội,55.0,m2,800.0,triệu,
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,Giấy chứng nhận quyền sở hữu đất,,,Đường Linh Đàm,,Quận Hoàng Mai,Hà Nội,70.0,m2,4.3,tỷ,
Đường Đền Lừ 1,,,,,Đường Đền Lừ 1,Phường Hoàng Văn Thụ,Quận Hoàng Mai,Hà Nội,64.0,m2,,tỷ,
Đường Đông Tác,Nam,Giấy chứng nhận quyền sở hữu đất,2,7,Đường Đông Tác,Phường Kim Liên,Quận Đống Đa,Hà Nội,46.0,m2,600.0,triệu,
Đường Mễ Trì Hạ,Tây,,2,7,Đường Mễ Trì Hạ,Phường Mễ Trì,Quận Nam Từ Liêm,Hà Nội,38.0,m2,600.0,triệu,
Rainbow Linh Đàm,,Giấy chứng nhận quyền sở hữu đất,,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,89.0,m2,5.3,tỷ,
Phường Thượng Đình,,,,,,,Quận Thanh Xuân,Hà Nội,60.0,m2,2.2,tỷ,
Phường Tây Mỗ,Đông Nam,Giấy tờ hợp lệ,,,,,Quận Nam Từ Liêm,Hà Nội,375.0,m2,34.0,tỷ,
Đường Đại lộ Thăng Long,Đông Nam,Giấy tờ hợp lệ,,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,Hà Nội,220.0,m2,16.3,tỷ,
Đường Đại lộ Thăng Long,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,Hà Nội,368.0,m2,,tỷ,
Tòa nhà Licogi 12,,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Hoàng Mai,Hà Nội,110.0,m2,5.5,tỷ,
Đường Đại lộ Thăng Long,,Giấy chứng nhận quyền sở hữu đất,2,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,Hà Nội,64.0,m2,3.0,tỷ,
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,Giấy chứng nhận quyền sở hữu đất,,,Đường Linh Đàm,,Quận Hoàng Mai,Hà Nội,63.0,m2,3.75,tỷ,
Đường Đại lộ Thăng Long,,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,Hà Nội,64.0,m2,3.0,tỷ,
Vinhomes Smart City,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,2,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,71.0,m2,5.15,tỷ,
Vinhomes Ocean Park,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,58.0,m2,3.0,tỷ,
Vinhomes Ocean Park,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,58.0,m2,3.05,tỷ,
VP3 Linh Đàm,,,,,Đường Nguyễn Duy Trinh,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,76.0,m2,4.35,tỷ,
VP3 Linh Đàm,,Giấy chứng nhận quyền sở hữu đất,,,Đường Nguyễn Duy Trinh,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,83.0,m2,4.7,tỷ,
Vinhomes Ocean Park,,,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,54.0,m2,2.8,tỷ,
Vinhomes Ocean Park,Tây Bắc,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,30.0,m2,1.62,tỷ,
Vinhomes Ocean Park,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,33.0,m2,1.62,tỷ,
Phường Giang Biên,Nam,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Long Biên,Hà Nội,73.0,m2,3.6,tỷ,
HC Golden City,Đông Nam,Giấy tờ hợp lệ,,,Đường Bồ Đề,Phường Bồ Đề,Quận Long Biên,Hà Nội,120.0,m2,8.05,tỷ,
Eco City Việt Hưng,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,,Phường Giang Biên,Quận Long Biên,Hà Nội,80.0,m2,4.2,tỷ,
Phường Giang Biên,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Long Biên,Hà Nội,73.0,m2,3.85,triệu,
Goldmark City,,,,,Đường Hồ Tùng Mậu,Phường Phú Diễn,Quận Bắc Từ Liêm,Hà Nội,121.0,m2,,tỷ,
Phố Xã Đàn,,Giấy chứng nhận quyền sở hữu đất,,,Phố Xã Đàn,Phường Phương Liên,Quận Đống Đa,Hà Nội,31.0,m2,690.0,triệu,
Phố Bạch Mai,,Giấy chứng nhận quyền sở hữu đất,,,Phố Bạch Mai,Phường Bạch Mai,Quận Hai Bà Trưng,Hà Nội,25.0,m2,800.0,triệu,
Phố Xã Đàn,,Giấy tờ hợp lệ,,,Phố Xã Đàn,Phường Phương Liên,Quận Đống Đa,Hà Nội,25.0,m2,800.0,triệu,
Đường Vĩnh Phúc,Tây,,2,7,Đường Vĩnh Phúc,Phường Vĩnh Phúc,Quận Ba Đình,Hà Nội,33.0,m2,620.0,triệu,
Phố Hồng Mai,Nam,,2,6,Phố Hồng Mai,Phường Quỳnh Lôi,Quận Hai Bà Trưng,Hà Nội,46.0,m2,550.0,triệu,
Đường Phan Đình Giót,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Phan Đình Giót,Phường Phương Liệt,Quận Thanh Xuân,Hà Nội,55.0,m2,600.0,triệu,
Đường Giải Phóng,Nam,,1,6,Đường Giải Phóng,Phường Tương Mai,Quận Hoàng Mai,Hà Nội,40.0,m2,600.0,triệu,
Đường Hồ Ba Mẫu,Tây,Giấy chứng nhận quyền sở hữu đất,,,Đường Hồ Ba Mẫu,Phường Phương Liên,Quận Đống Đa,Hà Nội,35.0,m2,600.0,triệu,
Đường Trung Phụng,Nam,Giấy chứng nhận quyền sở hữu đất,1,6,Đường Trung Phụng,Phường Khâm Thiên,Quận Đống Đa,Hà Nội,40.0,m2,600.0,triệu,
Phố Chùa Bộc,Tây,Giấy chứng nhận quyền sở hữu đất,2,6,Phố Chùa Bộc,Phường Quang Trung,Quận Đống Đa,Hà Nội,36.0,m2,555.5,triệu,
Đường Nguyễn Trãi,,,,,Đường Nguyễn Trãi,Phường Nhân Chính,Quận Thanh Xuân,Hà Nội,35.0,m2,750.0,triệu,
Đường Trích Sài,,,,,Đường Trích Sài,Phường Thụy Khuê,Quận Tây Hồ,Hà Nội,35.0,m2,780.0,triệu,
Quận Hoàng Mai,,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Hoàng Mai,Hà Nội,35.0,m2,700.0,triệu,
Đường Đội Cấn,,,1,,Đường Đội Cấn,Phường Kim Mã,Quận Ba Đình,Hà Nội,45.0,m2,600.0,triệu,
Đường Hồ Ba Mẫu,,,,,Đường Hồ Ba Mẫu,,Quận Đống Đa,Hà Nội,34.0,m2,650.0,triệu,
Vinhomes Smart City,,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,43.0,m2,2.9,tỷ,
Vinhomes Smart City,,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,30.0,m2,2.1,tỷ,
Vinhomes Ocean Park,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,63.0,m2,3.0,tỷ,
Đường Phúc La,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Phúc La,Phường Phúc La,Quận Hà Đông,Hà Nội,67.0,m2,2.9,tỷ,
Đường Trần Khát Chân,,,,,Đường Trần Khát Chân,Phường Thanh Nhàn,Quận Hai Bà Trưng,Hà Nội,32.0,m2,790.0,triệu,
Phường Phúc La,Đông Nam,,,,,,Quận Hà Đông,Hà Nội,67.0,m2,2.9,tỷ,
Vinhomes Smart City,Tây Nam,,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,64.0,m2,4.2,tỷ,
Đường Hồ Tùng Mậu,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Hồ Tùng Mậu,Phường Phú Diễn,Quận Bắc Từ Liêm,Hà Nội,94.0,m2,7.0,tỷ,
Khai Sơn Town,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Ngọc Thụy,Phường Ngọc Thụy,Quận Long Biên,Hà Nội,167.0,m2,7.8,tỷ,
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,,,,Đường Linh Đàm,,Quận Hoàng Mai,Hà Nội,68.0,m2,3.95,tỷ,
Vinhomes Smart City,,,2,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,64.0,m2,3.98,tỷ,
Vinhomes Ocean Park,,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,63.0,m2,,tỷ,
Dreamland Bonanza,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Duy Tân,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,300.0,m2,,tỷ,
Dreamland Bonanza,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Duy Tân,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,303.0,m2,,tỷ,
Khai Sơn Town,,,,,Đường Ngọc Thụy,Phường Ngọc Thụy,Quận Long Biên,Hà Nội,77.0,m2,4.95,tỷ,
Khai Sơn Town,,,2,21,Đường Ngọc Thụy,Phường Ngọc Thụy,Quận Long Biên,Hà Nội,77.0,m2,4.9,tỷ,
