duAn,huong,phapLy,noBed,soLau,Street,Precinct,District,acreage_value,price_value,noBathroom
Vinhomes Ocean Park,Đông Bắc,,,,,Xã Dương Xá,Huyện Gia Lâm,68.0,3.72,
Đường Trích Sài,,Giấy chứng nhận quyền sở hữu đất,,,Đường Trích Sài,Phường Thụy Khuê,Quận Tây Hồ,52.0,1.28,
Vinhomes Smart City,,,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,75.0,4.8,
Vinhomes Cổ Loa,,,,,,Xã Cổ Loa,Huyện Đông Anh,31.0,3.0,
Vinhomes Smart City,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,28.0,2.15,
Vinhomes Ocean Park,,,,,,Xã Dương Xá,Huyện Gia Lâm,86.0,4.85,
Vinhomes Ocean Park,,,,,,Xã Dương Xá,Huyện Gia Lâm,46.0,2.35,
Vinhomes Smart City,,,1.0,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,28.0,2.49,
Tòa nhà Licogi 12,,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Hoàng Mai,110.0,5.5,
VP3 Linh Đàm,,Giấy chứng nhận quyền sở hữu đất,,,Đường Nguyễn Duy Trinh,Phường Hoàng Liệt,Quận Hoàng Mai,83.0,4.7,
Vinhomes Ocean Park,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,43.2,2.4,
Vinhomes Ocean Park,,,,,,Xã Dương Xá,Huyện Gia Lâm,42.0,2.29,
Vinhomes Ocean Park,,,,,,Xã Dương Xá,Huyện Gia Lâm,63.0,5.8,
Phường Mỹ Đình 2,,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Nam Từ Liêm,133.0,8.0,
Quận Hoàng Mai,,,,,,,Quận Hoàng Mai,35.0,0.65,
Quận Đống Đa,,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Đống Đa,35.0,0.7,
Phường Hoàng Liệt,,,,,,,Quận Hoàng Mai,77.0,2.5,
Đường Trần Phú,,Giấy chứng nhận quyền sở hữu đất,,,Đường Trần Phú,Phường Nguyễn Trãi,Quận Hà Đông,40.0,1.0,
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,Giấy chứng nhận quyền sở hữu đất,,,Đường Linh Đàm,,Quận Hoàng Mai,57.0,3.55,
Vinhomes Ocean Park,,Giấy chứng nhận quyền sở hữu đất,2.0,,,Xã Dương Xá,Huyện Gia Lâm,70.0,3.05,
Vinhomes Ocean Park,,Giấy chứng nhận quyền sở hữu đất,3.0,,,Xã Dương Xá,Huyện Gia Lâm,80.0,3.45,
Vinhomes Ocean Park,,Giấy chứng nhận quyền sở hữu đất,1.0,,,Xã Dương Xá,Huyện Gia Lâm,47.0,2.1,
Vinhomes Ocean Park,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường 179,Xã Dương Xá,Huyện Gia Lâm,75.0,3.7,
Khu đô thị Trung Hòa - Nhân Chính,Đông Nam,Giấy chứng nhận quyền sở hữu đất,,,,Phường Trung Hòa,Quận Cầu Giấy,70.0,4.2,
Phố Trần Quý Kiên,,Giấy chứng nhận quyền sở hữu đất,,,Phố Trần Quý Kiên,Phường Dịch Vọng,Quận Cầu Giấy,52.0,3.65,
Vinhomes Ocean Park,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,,Xã Dương Xá,Huyện Gia Lâm,47.0,2.15,
Quận Hà Đông,,,,,,,Quận Hà Đông,89.0,4.4,
Vinhomes Smart City,,,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,64.0,3.95,
VP3 Linh Đàm,,,,,Đường Nguyễn Duy Trinh,Phường Hoàng Liệt,Quận Hoàng Mai,76.0,4.1,
Rainbow Linh Đàm,,,,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,90.0,5.3,
đường Tây Mỗ,,,,,,Phường Tây Mỗ,Quận Nam Từ Liêm,55.0,3.48,
Phố Xã Đàn,,,1.0,,Phố Xã Đàn,,Quận Đống Đa,35.0,0.55,
Quận Hoàng Mai,,,,,,,Quận Hoàng Mai,30.0,0.6,
Phố Chùa Bộc,,Giấy chứng nhận quyền sở hữu đất,1.0,,Phố Chùa Bộc,,Quận Đống Đa,43.0,0.55,
Quận Hà Đông,,,,,,,Quận Hà Đông,62.0,2.85,
Phường Phú La,,,,,,,Quận Hà Đông,118.0,5.4,
Phường Dương Nội,,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Hà Đông,57.0,3.0,
Đường Đại Cồ Việt,Đông,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Đường Đại Cồ Việt,Phường Bạch Đằng,Quận Hai Bà Trưng,55.0,0.8,
Vinhomes Smart City,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,43.0,3.03,
Đường Nguyễn Trãi,Đông,Giấy chứng nhận quyền sở hữu đất,,,Đường Nguyễn Trãi,Phường Thượng Đình,Quận Thanh Xuân,53.0,0.8,
Đường Phạm Ngọc Thạch,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Phạm Ngọc Thạch,Phường Kim Liên,Quận Đống Đa,53.0,0.8,
Phường Phú La,,,,,,,Quận Hà Đông,118.0,5.4,
Phường Dương Nội,,Giấy chứng nhận quyền sở hữu đất,,,,,Quận Hà Đông,57.0,3.0,
Đường Đại Cồ Việt,Đông,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Đường Đại Cồ Việt,Phường Bạch Đằng,Quận Hai Bà Trưng,55.0,0.8,
Vinhomes Smart City,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,,,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm,43.0,3.03,
Đường Nguyễn Trãi,Đông,Giấy chứng nhận quyền sở hữu đất,,,Đường Nguyễn Trãi,Phường Thượng Đình,Quận Thanh Xuân,53.0,0.8,
Đường Phạm Ngọc Thạch,Tây Nam,Giấy chứng nhận quyền sở hữu đất,,,Đường Phạm Ngọc Thạch,Phường Kim Liên,Quận Đống Đa,53.0,0.8,
Đường Giải Phóng,Tây,Giấy chứng nhận quyền sở hữu đất,,,Đường Giải Phóng,Phường Giáp Bát,Quận Hoàng Mai,55.0,0.8,
Đường Phạm Hùng,Đông,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Đường Phạm Hùng,Phường Mỹ Đình 2,Quận Nam Từ Liêm,52.0,0.8,
